lat,lon,sza,vza,saa,vaa,xco2,xco2_sigma,xco2_qual,time,date,GID_0,COUNTRY
13.829837,107.6487,38.598972,26.349894,199.16942,74.51022,410.28662,1.0013281,0,b'2020-01-05 05:45:45.783',2020-01-05,VNM,Vietnam
13.830775,107.647125,38.605526,25.325838,199.19383,80.35961,409.50262,1.0012122,0,b'2020-01-05 05:45:50.472',2020-01-05,VNM,Vietnam
11.600445,105.90792,35.97622,38.90162,197.73506,68.80119,407.19058,1.1055113,0,b'2020-01-05 05:46:08.910',2020-01-05,VNM,Vietnam
11.340221,106.176094,35.81581,36.770203,198.27321,67.4321,409.30194,0.91962206,0,b'2020-01-05 05:46:13.439',2020-01-05,VNM,Vietnam
11.07342,106.42676,35.64698,34.652508,198.79277,65.965965,410.09677,0.928693,0,b'2020-01-05 05:46:18.128',2020-01-05,VNM,Vietnam
11.356645,107.125725,36.191364,24.457678,199.9182,114.61615,415.8077,1.0686207,0,b'2020-01-05 05:46:55.003',2020-01-05,VNM,Vietnam
10.411466,104.9183,37.532307,34.891922,208.44833,300.44632,410.8884,0.95209455,0,b'2020-01-06 06:19:05.584',2020-01-06,VNM,Vietnam
10.443862,105.343956,37.77116,37.025024,209.00652,293.12543,409.37665,1.0024992,0,b'2020-01-06 06:19:10.274',2020-01-06,VNM,Vietnam
13.8285,107.64929,37.100315,26.348076,198.51999,74.52034,412.3944,0.99334484,0,b'2020-01-14 05:45:39.731',2020-01-14,VNM,Vietnam
13.827806,107.64739,37.105038,25.32904,198.54585,80.33887,410.64832,0.9658714,0,b'2020-01-14 05:45:44.421',2020-01-14,VNM,Vietnam
11.340583,106.17622,34.324284,36.76754,197.54208,67.46321,409.64844,0.92107046,0,b'2020-01-14 05:46:07.387',2020-01-14,VNM,Vietnam
11.074563,106.42713,34.152065,34.64418,198.08517,66.01086,412.07373,0.9260955,0,b'2020-01-14 05:46:12.078',2020-01-14,VNM,Vietnam
10.803119,106.663086,33.97315,32.618847,198.61116,64.19083,410.3397,0.95787525,0,b'2020-01-14 05:46:16.606',2020-01-14,VNM,Vietnam
11.354823,107.12616,34.68541,24.458553,199.27632,114.62637,412.62018,1.0571798,0,b'2020-01-14 05:46:48.953',2020-01-14,VNM,Vietnam
11.351785,107.12484,34.07693,24.45509,199.19064,114.58923,412.4305,1.0881884,0,b'2020-01-17 05:46:47.024',2020-01-17,VNM,Vietnam
