GID_1,GID_0,COUNTRY,NAME_1,VARNAME_1,NL_NAME_1,TYPE_1,ENGTYPE_1,CC_1,HASC_1,ISO_1,co2_count
VNM.1_1,VNM,Vietnam,An Giang,An Giang,NA,Tỉnh,Province,NA,VN.AG,VN-44,0
VNM.7_1,VNM,Vietnam,Bà Rịa - Vũng Tàu,Ba Ria - Vung Tau,NA,Tỉnh,Province,NA,VN.BV,NA,409
VNM.3_1,VNM,Vietnam,Bắc Giang,Bac Giang,NA,Tỉnh,Province,NA,VN.BG,NA,60
VNM.4_1,VNM,Vietnam,Bắc Kạn,Bac Kan,NA,Tỉnh,Province,NA,VN.BK,NA,0
VNM.2_1,VNM,Vietnam,Bạc Liêu,Bac Lieu,NA,Tỉnh,Province,NA,VN.BL,NA,0
VNM.5_1,VNM,Vietnam,Bắc Ninh,Bac Ninh,NA,Tỉnh,Province,NA,VN.BN,NA,0
VNM.6_1,VNM,Vietnam,Bến Tre,Ben Tre,NA,Tỉnh,Province,NA,VN.BR,NA,0
VNM.8_1,VNM,Vietnam,Bình Định,Binh Dinh,NA,Tỉnh,Province,NA,VN.BD,NA,65
VNM.9_1,VNM,Vietnam,Bình Dương,Binh Duong,NA,Tỉnh,Province,NA,VN.BI,NA,3
VNM.10_1,VNM,Vietnam,Bình Phước,Binh Phuoc,NA,Tỉnh,Province,NA,VN.BP,NA,281
VNM.11_1,VNM,Vietnam,Bình Thuận,Binh Thuan,NA,Tỉnh,Province,NA,VN.BU,NA,192
VNM.13_1,VNM,Vietnam,Cà Mau,Ca Mau,NA,Tỉnh,Province,NA,VN.CM,NA,2
VNM.12_1,VNM,Vietnam,Cần Thơ,Can Tho,NA,Thành phố,City,NA,VN.CN,NA,1
VNM.14_1,VNM,Vietnam,Cao Bằng,Cao Bang,NA,Tỉnh,Province,NA,VN.CB,NA,86
VNM.19_1,VNM,Vietnam,Đà Nẵng,Da Nang,NA,Thành phố,City,NA,VN.DA,NA,0
VNM.15_1,VNM,Vietnam,Đắk Lắk,Dak Lak,NA,Tỉnh,Province,NA,VN.DC,NA,240
VNM.16_1,VNM,Vietnam,Đắk Nông,Dak Nong,NA,Tỉnh,Province,NA,VN.DO,NA,0
VNM.20_1,VNM,Vietnam,Điện Biên,Dien Bien,NA,Tỉnh,Province,NA,VN.DB,NA,146
VNM.17_1,VNM,Vietnam,Đồng Nai,Dong Nai,NA,Tỉnh,Province,NA,VN.DN,NA,357
VNM.18_1,VNM,Vietnam,Đồng Tháp,Dong Thap,NA,Tỉnh,Province,NA,VN.DT,NA,0
VNM.21_1,VNM,Vietnam,Gia Lai,Gia Lai,NA,Tỉnh,Province,NA,VN.GL,VN-30,721
VNM.26_1,VNM,Vietnam,Hà Giang,Ha Giang,NA,Tỉnh,Province,NA,VN.HG,NA,130
VNM.28_1,VNM,Vietnam,Hà Nam,Ha Nam,NA,Tỉnh,Province,NA,VN.HM,NA,0
VNM.27_1,VNM,Vietnam,Hà Nội,Ha Noi,NA,Thành phố,City,NA,VN.HI,NA,0
VNM.29_1,VNM,Vietnam,Hà Tĩnh,Ha Tinh,NA,Tỉnh,Province,NA,VN.HT,NA,66
VNM.22_1,VNM,Vietnam,Hải Dương,Hai Duong,NA,Tỉnh,Province,NA,VN.HD,NA,0
VNM.23_1,VNM,Vietnam,Hải Phòng,Hai Phong,NA,Thành phố,City,NA,VN.HP,NA,33
VNM.24_1,VNM,Vietnam,Hậu Giang,Hau Giang,NA,Tỉnh,Province,NA,VN.HU,NA,1
VNM.25_1,VNM,Vietnam,Hồ Chí Minh,Ho Chi Minh,NA,Thành phố,City,NA,VN.HC,NA,5
VNM.30_1,VNM,Vietnam,Hoà Bình,Hoa Binh,NA,Tỉnh,Province,NA,VN.HO,NA,37
